Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism
goat anti-mouse,antibody,,,,,cytoplasm,GO:0005737,Cig2,protein,,,UniProt,,cytoplasm,GO:0005737,positive,indirect,binds,,,epithelial-like,,
Gab1,protein,adaptor,GAB1,UniProt,Q16155,plasma membrane,GO:0005886,EGFR,protein,receptor,EGFR,UniProt,P00533,plasma membrane,GO:0005886,positive,direct,recruitment,,,epithelial,,human
Cdk1,protein,kinase,CDK1,UniProt,P06493,nucleus,GO:0005634,p27,protein,kinase inhibitor,CDKN1B,UniProt,Q9Y6K9,nucleus,GO:0005634,negative,direct,phosphorylation inhibition,,,epithelial,,human
DE algorithm,algorithm,,,,,software,,Parameter ranges,other,,,,,software,,positive,indirect,optimization,,,,,
Wild-type yeast cells,other,,,,,cell,,,ion,,,,,cytosol,GO:0005829,positive,indirect,phosphorylation,,,epithelial,,human
BH3-only molecules (BH3s),protein,proapoptotic,,,,cytosol,GO:0005829,cytochrome c,protein,,,UniProt,P00918,cytosol,GO:0005829,negative,direct,binds,BH3 domain,,,,human
thapsigargin,chemical,inhibitor,,PubChem,5978,ER,GO:0005783,Caspase 3/7,enzyme,,,UniProt,P42574,cytoplasm,GO:0005737,negative,indirect,inhibitor,ER,MEFs,fibroblast,embryonic,mouse
CycE/CDK2,other,,,,,nucleus,GO:0005634,Proliferation,process,,,,,,GO:0000003,positive,indirect,phosphorylation,,,epithelial,,human
mesenchymal-like TFs,protein,transcription factor,,,,nucleus,GO:0005634,hybrid phenotype,other,,,,,cell,GO:0005623,negative,direct,regulation,,SCLC,mesenchymal-like,lung,human
NFAT,protein,,NFATC1,UniProt,Q16552,nucleus,GO:0005634,PLC ?,enzyme,,,fplx,PLC ?,cytoplasm,GO:0005829,positive,indirect,feedback loop,,pancreatic adenocarcinoma,epithelial-like,pancreas,human
BRCA1,protein,tumor suppressor,BRCA1,UniProt,P38398,nucleus,GO:0005634,IRS-1,protein,,IRS1,UniProt,P35568,plasma membrane,GO:0005886,negative,direct,epigenetic modification,,,epithelial,breast,human
JNK,protein,,MAPK8,UniProt,Q07912,cytoplasm,GO:0005829,insulin,hormone,,INS,UniProt,P06213,plasma membrane,GO:0005886,positive,direct,phosphorylation,,,cancer cell,,human
Bevacizumab,protein,,,UniProt,1BKC,plasma,GO:0005615,VEGF,protein,,VEGFA,UniProt,P15692,plasma,GO:0005615,negative,indirect,inhibition,,,glioblastoma,brain,human
CEBPB,protein,TF,CEBPB,UniProt,P17661,nucleus,GO:0005634,JUND,gene,,JUND,,,nucleus,GO:0005634,positive,indirect,transcriptional regulation,,HGG,glioblastoma,brain,human
MYC,protein,,MYC,UniProt,P01106,nucleus,GO:0005634,AKT,protein,,AKT1,UniProt,P31749,cytoplasm,GO:0005829,positive,indirect,transcriptional regulation,,,HGG,,human
Oncogenic,protein,,,UniProt,,plasma membrane,GO:0005886,Other RTKs,protein,,,UniProt,,plasma membrane,GO:0005886,positive,direct,phosphorylation,,,glioma,brain,human
EGF,growth factor,,,UniProt,,extracellular space,GO:0005615,HGG cells,cell,,,,,plasma membrane,GO:0005886,positive,direct,receptor binding,,,glioblastoma stem cells,brain,mouse
DISTp,other,,,,,,,SFARI genes,other,,,,,,,negative,indirect,,,,,,human
mTOR,protein,kinase,MTOR,UniProt,Q9Y463,cytoplasm,GO:0005737,TCR,other,,,fplx,TCR,plasma membrane,GO:0005886,positive,indirect,activation,,GBM,glioma,brain,human
BartWeb,algorithm,,,,10,,,tumor growth,process,,,,,,,negative,indirect,regulation,,,epithelial,,human
TFCRs,protein,transcription factor,,,TFCRs,nucleus,GO:0005634,TCA cycle,pathway,,,,TCA cycle,mitochondria,GO:0005739,positive,indirect,regulating,,,,,human
TFCRs,protein,receptor,,UniProt,,cell membrane,GO:0005886,neoantigen load,other,,,,,,,positive,indirect,association,,,epithelial-like,,human
CD8+,protein,,CD8A,UniProt,P01732,lymphoid tissue,GO:0031090,Tregs,cell,T cell,FOXP3,UniProt,P56948,lymphoid tissue,GO:0031090,negative,indirect,inhibition,,4T1 mice,tumor-infiltrating cells,lymphoid tissue,mouse
BTAS,gene set,,,,,tumor,,OS,process,,,,,tumor,,positive,indirect,association,,,tumor,melanoma,human
BipotentR,algorithm,,,,,,,Growth-suppressor pathways,pathway,,,,,,,negative,indirect,inhibition,,,cancer cell,,human
?,parameter,,,,,,,"L(?,, |E)",function,,,,,,,positive,indirect,statistical analysis,,,immune cell,lymphoid,human
PD-1,protein,,PDCD1,UniProt,Q15116,plasma membrane,GO:0005886,Melanoma,other,,,,,,,negative,direct,inhibits,,,melanoma,skin,human
Anti-PD1,antibody,,,,,plasma membrane,GO:0005886,Immune-metabolic targets,other,,,,,,,positive,direct,binding,,,immune cells,,human
PD-1,protein,,PDCD1,UniProt,Q9GZQ7,plasma membrane,GO:0005886,T-cell lymphocytes,other,,,fplx,T-cell lymphocytes,peripheral blood,GO:0000000,positive,indirect,downregulation,,GBM,T-cell,brain,human
PR-957,protein,,,,,joint,,Rheumatoid Arthritis,disease,,,,,joint,,positive,indirect,ameliorated,,,immune cells,joint,mouse
NDUFS4,gene,,NDUFS4,HGNC,7869,,,Verbal memory,other,,,,,,,positive,indirect,association,,,neuron,,human
CDK6,protein,,CDK6,UniProt,Q9NRA2,nucleus,GO:0005634,NFAT,protein,,NFATC1,UniProt,Q14289,nucleus,GO:0005634,positive,indirect,activation,,1205Lu,epithelial-like,,human
FXR1,protein,,FXR1,UniProt,Q9Y5T8,nucleus,GO:0005634,Rb,protein,,RBBP8,UniProt,P06400,nucleus,GO:0005634,positive,indirect,regulation,,HEK293T,epithelial-like,kidney,human
p53,protein,,TP53,UniProt,P04637,nucleus,GO:0005634,p21,protein,,CDKN1A,UniProt,P38936,nucleus,GO:0005634,positive,indirect,phosphorylation,,,epithelial-like,,human
Palbociclib,drug,CDK4/6 inhibitor,,DrugBank,DB06232,plasma,,Melanoma cells,cell,cancer,,,,subcutaneous,,negative,indirect,inhibition,,SCID mice,immune-deficient,,mouse
Ascl1,protein,,ASCL1,UniProt,Q9Z2P0,cytoplasm,GO:0005737,neuronal target genes,gene,,,,,nucleus,GO:0005634,positive,direct,transcriptional activation,,,neuron,brain,mouse
ASCL1,protein,transcription factor,ASCL1,UniProt,Q14192,nucleus,GO:0005634,GBM tissues,tissue type,,,,,,,positive,indirect,transcriptional regulation,,,epithelial-like,brain,human
CD8-p56,protein,,,UniProt,P06493,plasma membrane,GO:0005886,NFAT,protein,,NFATC1,UniProt,Q14257,nucleus,GO:0005634,positive,indirect,phosphorylation,,,T-cell,,human
NFAT,protein,,NFATC1,UniProt,Q13315,nucleus,GO:0005634,TCR / CD3 subunits,other,,,fplx,TCR / CD3,plasma membrane,GO:0005886,positive,direct,phosphorylation,,,T-cell,,human
ZAP-70,protein,,ZAP70,UniProt,P43403,plasma membrane,GO:0005886,LAT,protein,,LAT,UniProt,Q13421,plasma membrane,GO:0005886,positive,indirect,translocation of NFAT into the nucleus,,,B-cell,,human
PLC ?,protein,,PLCG1,UniProt,P07237,plasma membrane,GO:0005886,NFAT,protein,,NFATC1,UniProt,Q14270,nucleus,GO:0005634,positive,indirect,phosphorylation,,,T-cell,lymphoid,human
ZAP-70,protein,,ZAP70,UniProt,Q06190,plasma membrane,GO:0005886,LAT,protein,,LAT,UniProt,Q13503,plasma membrane,GO:0005886,positive,indirect,phosphorylation,,,T-cell,lymphoid,human
NFAT,protein,,NFATC1,UniProt,Q16526,nucleus,GO:0005634,CD3,other,,,fplx,CD3,plasma membrane,GO:0005886,positive,direct,phosphorylation,,,T-cell,,human
ZAP-70,protein,,ZAP70,UniProt,P43487,plasma membrane,GO:0005886,LAT,protein,,LAT,UniProt,Q9Y5T8,plasma membrane,GO:0005886,positive,direct,phosphorylation,,,T-cell,,human
LEF1,protein,,LEF1,UniProt,Q9Y6B8,nucleus,GO:0005634,YKL40,gene,,YKL40,fplx,YKL40,cytoplasm,GO:0005737,positive,direct,binds,promoter,GBM cells,epithelial-like,brain,human
Urokinase receptor,receptor,,,fplx,Urokinase receptor,plasma membrane,GO:0005886,ERK,protein,kinase,MAPK1,UniProt,P28482,cytoplasm,GO:0005737,positive,indirect,activation,,GBM xenograft,glioblastoma,brain,human
BoolODE,software,,,,BoolODE,,,GeneNetWeaver,software,,,,GeneNetWeaver,,,negative,indirect,comparison,,,epithelial-like,,human
Research paper,document,,,,,,,Contradictory information,information,,,,,,,negative,indirect,refutes,,,,,human
TMEM242,protein,,TMEM242,UniProt,Q9H6Z4,mitochondria,GO:0005739,mitochondrial respiration,process,,,WikiPathways,,mitochondria,GO:0005739,positive,indirect,CRISPR interference (CRISPRi),,>2.5 million human cells,epithelial-like,,human
NEPRO,protein,,,UniProt,Q8N5M7,cytosol,GO:0005829,ribosome,other,,,fplx,ribosome,cytosol,GO:0005829,positive,indirect,regulation,ribosome,,epithelial-like,,human
non-identical distributions,distribution,,,,,,,perturbed cells,cell,,,,,,,positive,indirect,permutation test,,,,,
RIPK1,protein,,RIPK1,UniProt,Q13546,cytoplasm,GO:0005737,lipopolysaccharide response,other,,,,,cytoplasm,GO:0005737,negative,indirect,binds,,macrophages,immune cell,immune tissue,mammalian
macrophage,cell,immune cell,,,,,,output data,other,,,,,,,positive,direct,binding,,,immune cell,,human
PARP,protein,,PARP1,UniProt,P09874,nucleus,GO:0005634,MCF10A,cell line,,,cell line,MCF10A,,GO:0005739,positive,indirect,increased sensitivity,,MCF10A,epithelial,breast,human
HEC1B,protein,,,UniProt,,cytoplasm,GO:0005829,HEC1B,protein,,,UniProt,,cytoplasm,GO:0005829,positive,indirect,activation,,,epithelial,,human
WEE1,enzyme,,WEE1,UniProt,P50615,nucleus,GO:0005634,,,,,,,,,positive,direct,inhibition,,AN3CA,epithelial-like,,human
